SampleNo,Sample,Hour,Replicate,Method,Method2,MountingMedium,Date,Analyst,InitialWeight_g,SamplePercent,FieldsCounted,Counted,BubbleArea,Cons_per1g,MillionsPer1g,MillionsPer1g_BubbleCorrected,Difference_millionsPer1g
QR24_192-12,QR24_192,5,15,16 SPT,Gur-Arieh5,SPT,1/10/26,EJL,0.01958,10,16,186,18.702,14394198.82,14.4,13.92683718,0.467361643
QR24_192-13,QR24_192,0,12,16 SPT,Gur-Arieh,SPT,12/14/25,EJL,0.01901,10,16,168,0,13391043.02,13.4,13.39104302,0
QR24_192-13,QR24_192,1,12,16 SPT,Gur-Arieh1,SPT,12/14/25,EJL,0.01901,10,16,204,0.791,16260552.24,16.3,16.23822221,0.022330029
QR24_192-13,QR24_192,2,12,16 SPT,Gur-Arieh2,SPT,12/14/25,EJL,0.01901,10,16,190,2.033,15144631.99,15.1,15.0911788,0.053453189
QR24_192-13,QR24_192,3,12,16 SPT,Gur-Arieh3,SPT,12/14/25,EJL,0.01901,10,16,206,4.571,16419969.42,16.4,16.28966442,0.130305
QR24_192-13,QR24_192,4,12,16 SPT,Gur-Arieh4,SPT,12/14/25,EJL,0.01901,10,16,196,11.347,15622883.52,15.6,15.31511814,0.307765381
QR24_192-13,QR24_192,5,12,16 SPT,Gur-Arieh5,SPT,12/14/25,EJL,0.01901,10,16,179,18.702,14267837.5,14.3,13.80457866,0.463258849
QR24_192-14,QR24_192,0,13,16 SPT,Gur-Arieh,SPT,12/15/25,EAS,0.02089,10,16,245,0,17771123.49,17.8,17.77112349,0
QR24_192-14,QR24_192,1,13,16 SPT,Gur-Arieh1,SPT,12/15/25,ES,0.02089,10,16,246,0.791,17843658.69,17.8,17.81915464,0.024504052
QR24_192-14,QR24_192,2,13,16 SPT,Gur-Arieh2,SPT,12/15/25,ES,0.02089,10,16,244,2.033,17698588.29,17.7,17.63612088,0.062467413
QR24_192-14,QR24_192,3,13,16 SPT,Gur-Arieh3,SPT,12/15/25,ES,0.02089,10,16,232,4.571,16828165.92,16.8,16.69462157,0.133544351
QR24_192-14,QR24_192,4,13,16 SPT,Gur-Arieh4,SPT,12/15/25,ES,0.02089,10,16,221,11.347,16030278.74,16.0,15.71448782,0.315790925
QR24_192-14,QR24_192,5,13,16 SPT,Gur-Arieh5,SPT,12/15/25,ES,0.02089,10,16,208,18.702,15087321.17,15.1,14.59745471,0.489866459
QR24_192-15,QR24_192,0,14,16 SPT,Gur-Arieh,SPT,1/9/26,EJL,0.01805,10,16,201,0,16873535.58,16.9,16.87353558,0
QR24_192-15,QR24_192,1,14,16 SPT,Gur-Arieh1,SPT,1/9/26,EJL,0.01805,10,16,210,0.791,17629067.02,17.6,17.60485766,0.024209361
QR24_192-15,QR24_192,2,14,16 SPT,Gur-Arieh2,SPT,1/9/26,EJL,0.01805,10,16,211,2.033,17713014.96,17.7,17.65049663,0.062518332
QR24_192-15,QR24_192,3,14,16 SPT,Gur-Arieh3,SPT,1/9/26,EJL,0.01805,10,16,184,4.571,15446420.63,15.4,15.32384148,0.122579147
QR24_192-15,QR24_192,4,14,16 SPT,Gur-Arieh4,SPT,1/9/26,EJL,0.01805,10,16,159,11.347,13347722.17,13.3,13.08477668,0.262945492
QR24_192-15,QR24_192,5,14,16 SPT,Gur-Arieh5,SPT,1/9/26,EJL,0.01805,10,16,166,18.702,13935357.74,13.9,13.4828941,0.452463647
QR24_192-17,QR24_192,0,16,16 SPT,Gur-Arieh,SPT,1/11/26,EJL,0.01976,10,16,152,0,11655848.34,11.7,11.65584834,0
QR24_192-17,QR24_192,1,16,16 SPT,Gur-Arieh1,SPT,1/11/26,EJL,0.01976,10,16,141,0.791,10812333,10.8,10.79748482,0.014848186
QR24_192-17,QR24_192,2,16,16 SPT,Gur-Arieh2,SPT,1/11/26,EJL,0.01976,10,16,127,2.033,9738768.024,9.7,9.704394907,0.034373117
QR24_192-17,QR24_192,3,16,16 SPT,Gur-Arieh3,SPT,1/11/26,EJL,0.01976,10,16,127,4.571,9738768.024,9.7,9.66148346,0.077284564
QR24_192-17,QR24_192,4,16,16 SPT,Gur-Arieh4,SPT,1/11/26,EJL,0.01976,10,16,149,11.347,11425798.71,11.4,11.20071444,0.225084267
QR24_192-17,QR24_192,5,16,16 SPT,Gur-Arieh5,SPT,1/11/26,EJL,0.01976,10,16,115,18.702,8818569.47,8.8,8.532241543,0.286327927
